consolidated_camp_name,canonical_normalized_key,prioritized_source,present_in_forms_camps_csv,forms_camps_camp_matched,forms_camps_match_type,forms_camps_match_score,present_in_dust_camps_csv,dust_camps_forms_camp_matched,dust_camps_forms_match_type,dust_camps_forms_match_score
Sacred Swarm,sacred swarm,dust/camps_forms.csv,True,Sacred Swarm,source_only,1.0,True,Sacred Swarm,exact,1.0
Sanctuary,sanctuary,dust/camps_forms.csv,False,,none,0.0,True,Sanctuary,source_only,1.0
Sandtasia,sandtasia,dust/camps_forms.csv,True,Sandtasia,source_only,1.0,True,Sandtasia,exact,1.0
Sensua,sensua,forms/camps.csv,True,Sensua,source_only,1.0,False,,none,0.0
Sensua (Adults only),sensua adults only,dust/camps_forms.csv,False,,none,0.0,True,Sensua (Adults only),source_only,1.0
Sound Central Open Camping (TENTS ONLY) NO MOTOR VEHICLES!,sound central open camping tents only no motor vehicles,dust/camps_forms.csv,False,,none,0.0,True,Sound Central Open Camping (TENTS ONLY) NO MOTOR VEHICLES!,source_only,1.0
Space Clowns from Outer Space (IN YO SPACE!),space clowns from outer space in yo space,dust/camps_forms.csv,True,Space Clowns from Outer Space (IN YO SPACE!),source_only,1.0,True,Space Clowns from Outer Space (IN YO SPACE!),exact,1.0
Spectral Subverse,spectral subverse,dust/camps_forms.csv,True,Spectral Subverse,source_only,1.0,True,Spectral Subverse,exact,1.0
Starlit Sanctuary,starlit sanctuary,dust/camps_forms.csv,True,Starlit Sanctuary,source_only,1.0,True,Starlit Sanctuary,exact,1.0
Sunshine Yoga Cafe,sunshine yoga cafe,dust/camps_forms.csv,True,Sunshine Yoga Cafe,source_only,1.0,True,Sunshine Yoga Cafe,exact,1.0
Swag n Dab,swag n dab,dust/camps_forms.csv,True,Swag n Dab,source_only,1.0,True,Swag n Dab,exact,1.0
Tall Waterfall,tall waterfall,dust/camps_forms.csv,False,,none,0.0,True,Tall Waterfall,source_only,1.0
Temple,temple,dust/camps_forms.csv,False,,none,0.0,True,Temple,source_only,1.0
Temple of The Tea Monks,temple of the tea monks,dust/camps_forms.csv,True,Temple of The Tea Monks,source_only,1.0,True,Temple of The Tea Monks,exact,1.0
The BlackLit Moon,the blacklit moon,dust/camps_forms.csv,True,The BlackLit Moon,source_only,1.0,True,The BlackLit Moon,exact,1.0
The Broken Drum,the broken drum,dust/camps_forms.csv,True,The Broken Drum,source_only,1.0,True,The Broken Drum,exact,1.0
