"id","title","description","type","location","startTime","endTime","time","shortDay","shortTime","start24","end24"
"3270","Grilled Cheese and Soup Communion","Communion is served at the Church of Cheesus Crust lounge. Experience a taste of divine comfort and unity with fresh grilled cheese and soul-warming soup.","Food & Drink","The Church of Cheesus Crust","2024-06-22T23:00:00.000","2024-06-23T01:00:00.000","Saturday 11pm-1am (2hrs)","Sat, Jun 22","11pm (2hrs)","23:00","01:00"
"3196","Temple jam in the grotto","We will gather in the grotto at 3 AM and start jammin. Around blue channel,  we will parade to the temple to play as the sun rises\nAnd start today creating music together.  ","Gathering/Party","The Grotto","2024-06-23T03:00:00.000","2024-06-23T05:00:00.000","Sunday 3am-5am (2hrs)","Sun, Jun 23","3am (2hrs)","03:00","05:00"
"3244","Morning Meditation ","Morning meditation is a great way to center yourself, open your heart, and drop into collective consciousness. Each morning we will ground, offer guided meditation, and spend time connecting with the stillness and silence. Feel free to stay after for our morning movement offering (Yoga, Qi Gong, etc).  ","Gathering/Party","Acrodesiac Lunartics Tribe","2024-06-23T08:30:00.000","2024-06-23T09:30:00.000","Sunday 8:30am-9:30am (1hrs)","Sun, Jun 23","8:30am (1hrs)","08:30","09:30"
"3189","Toy Box - Open Play!","Come in and let your inner child out. Step back in time with us into our nostalgic toy box and delight in building a village from Lincoln Logs, setup a wooden train track, and populate your imaginary forest with toy animals. Or maybe you want to color on the walls of a cardboard doll house or play a simple game of pick up sticks with a friend? All toys are non-electronic, non-battery operated, no blinky lights or beep boops! Open 24/7 for solo or small group play when you are on sensory overload and need a reset. ","Miscellaneous","Nostalgia Under the Moonlight","2024-06-23T09:00:00.000","2024-06-23T10:00:00.000","Sunday 9am-10am (1hrs)","Sun, Jun 23","9am (1hrs)","09:00","10:00"
"3204","Sparkle Pony Express","The Sparkle Pony Express is open for mail! Stop by the post office at Burntastic Barbie to send mail, receive mail, or deliver mail. You can be the Sparkle Pony Rider — pony and sparkles provider! You can write a letter to someone at another camp, to someone at your camp, to someone you don’t know, or to yourself! Send your message and share the love. Please, if you take a shift to deliver mail, remember: no MOOP! ","Games","Burntastic Barbie","2024-06-23T09:00:00.000","2024-06-23T10:00:00.000","Sunday 9am-10am (1hrs)","Sun, Jun 23","9am (1hrs)","09:00","10:00"
"3212","Shitty? Or Pretty? Burner Caricatures ","Shitty? Or Pretty? Who knows but it will be fun… Running Doe will be whipping out some fast and fun portraits for you to keep. Come get your Burner Portraits. ","Miscellaneous","Dolls To The Wall","2024-06-23T09:00:00.000","2024-06-23T10:00:00.000","Sunday 9am-10am (1hrs)","Sun, Jun 23","9am (1hrs)","09:00","10:00"
"3221","Reappear Your Gear","Have gear you want to leave behind? Something broken but usable for parts? Shelf stable food? Things you just don't want to pack? We take wayward stuff to fix up and redistribute to our homeless neighbors back home. Drop it off with us and let your gear find a new home!","Miscellaneous","Spoon Commune","2024-06-23T09:00:00.000","2024-06-23T10:00:00.000","Sunday 9am-10am (1hrs)","Sun, Jun 23","9am (1hrs)","09:00","10:00"
"3239","Morning Yoga Flow","Join us for Morning Yoga! Incorporating both physical movement and energy activation. Every morning will be different as each teacher brings their own gifts and offerings. ","Gathering/Party","Acrodesiac Lunartics Tribe","2024-06-23T09:00:00.000","2024-06-23T10:00:00.000","Sunday 9am-10am (1hrs)","Sun, Jun 23","9am (1hrs)","09:00","10:00"
"3278","For CEREAL?! About last night... ","Give us your hot takes while snacking on corn flakes! Fancy a little hair of the dog? Try our Aftermath breakfast cocktail. Rad PJs encouraged.","Gathering/Party","World Spirits","2024-06-23T09:00:00.000","2024-06-23T11:30:00.000","Sunday 9am-11:30am (3hrs)","Sun, Jun 23","9am (3hrs)","09:00","11:30"
"3241","Morning Tai Chi & Qi Gong","Come join us for energetic embodiment! We will be practicing the internal art of Qi Gong to energize, open, and revitalize the body, mind, and spirit. Afterwards, we will connect and work through a partner drill and push-hands practice, using fundamental principles of Tai Chi.","Class/Workshop","The 5th Quest","2024-06-23T10:00:00.000","2024-06-23T11:00:00.000","Sunday 10am-11am (1hrs)","Sun, Jun 23","10am (1hrs)","10:00","11:00"
