Who is hosting? Theme Camp or Your name,What shall we call your Event?,"Not a Theme Camp? Please give us a location (art installation, lakeside, effigy, temple.. etc)",Which day(s) will your event take place?,What time will your event start?,What time will your event end?,Select a theme of your event for Pocket Guide!,Description of your play-learn-workshop-event for the Pocket Guide!,"If Materials Are Used, Will You Provide Them?"
,ReBirthDay Party,Garden Party,"Saturday, June 6",02:00:00 PM,05:00:00 PM,Party,"💖Happy ReBirthDay🌱\n\nIn support of Participation, Communal Effort, and Gifting, Garden Party is delighted to host a ReBirthDay Party for YOU! \n\nWe are providing a ReBirthDay cake, sweet treats, salty and savory snacks and presents! \n\nWe hope YOU are bringing:\n🎨 Face painting\n🤹 Jugglers & flow artists\n🎶 Musicians & wandering instrumentalists\n📖 Poetry readers & storytellers\n🎤 Singers & sing-a-long leaders\n🛠 Teachers of curious skills & hobbies\n😂 Stand-up comics & delightfully bad comedians\n🔮 Tarot readers, oracle readers & mystical beings\n\nThis is not about perfection.\nThis is about participation, play, connection, expression, and creating moments together.\n\nWhether you are wildly talented, charmingly awkward, deeply soulful, or charismatically chaotic — there is a place for you at the party.\n\nBring a gift.\nBring a skill.\nBring a ridiculous idea.\nBring your strange little spark.\nBring your magical presence.\n\nDon't forget to pick up your ReBirth Certificate before you leave!",
,Shibari rope tasting,The French Quarter,"Saturday, June 6",02:00:00 PM,06:00:00 PM,Workshop,"Come to the French Quarter to experience some rope decoration or suspension. This event is open to everybody, whether you have been tied before or you want to try for the first time, or you just like to watch.",
,Sno Cones!,Banana Hammocks,"Saturday, June 6",02:00:00 PM,04:00:00 PM,Event,Give your mouth the pleasure of some delicious sno cones! Bring a cup!,
,Mandatory Conclave Safety Meeting,Effigy Burn Field,"Saturday, June 6",03:00:00 PM,04:00:00 PM,Workshop,"Mandatory conclave safety meeting at Effigy Burn Field on Saturday at 3pm.\n\nFor all these meetings and events, bring your safeties! New or veteran, we would be overjoyed for you to spin fire with us!",
,Sound Bath Shavasana,Sunshine Yoga Cafe,"Saturday, June 6",03:00:00 PM,04:00:00 PM,Event,"Join us under the canopy for an extended Shavasana paired with an immersive sound bath. \n\nUse this time as a way to hit the reset button, restore your energy, and find calm. \n\nBring your mat, an eye mask or eye covering if you have one and prepare for shaded rest. \n\n*Note: we do have a sound camp nearby, so this sound bath may be a different sound experience- either way this will be a unique and magical experience.",
,Beginner/Intermediate Windmills on the Runway,Flow As You Go,"Saturday, June 6",05:00:00 PM,06:00:00 PM,Workshop,Beginner/Intermediate Windmills on the Runway\nDragonstaff w/ Christal,
,Pickle Back Happy Hour,The Thrifty Pickle,"Saturday, June 6",05:00:00 PM,07:00:00 PM,Food,"Come join us for pickle back happy hour! Have a shot of room temp whiskey followed by a shot of our finest ice cold pickle juice while you browse the shop or hang at the bar. We’ll keep the drinks flowing while supplies last, you just bring the cup!",
,Karaoke,A Little Bit All Over The Place,"Saturday, June 6",06:00:00 PM,09:00:00 PM,Food,We will be hosting kwraoke while we are cooking and serving food!,
,Make-Your-Own Ramen Bar,Wayward Bud,"Saturday, June 6",08:00:00 PM,02:00:00 AM,Food,"Warm up at Wayward Bud’s late-night Make-Your-Own Ramen Bar! Enjoy a wide selection of instant noodles, delicious toppings, and a variety of options to accommodate dietary restrictions and allergies. All self-serve.\n Just bring your own bowl and utensils!",
,Soup!!!! Soup!!!!,A Little Bit All Over The Place,"Saturday, June 6",08:00:00 PM,09:00:00 PM,Food,"Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.",
,Effigy Burn 🔥,Effigy Burn Field,"Saturday, June 6",08:30:00 PM,10:30:00 PM,Fire,Conclave and Effigy Burn begin shortly after dusk on Saturday,
,Burn Arena!!,Kamp Khaos Arena,"Saturday, June 6",10:00:00 PM,01:00:00 AM,Game,"The gates of the Arena open and the Mob goes wild! Gladiator Warz has been released upon the burn! Come on down and beat your opponents senseless in the best adult bopper game of the East coast! Choose helmet, armor, and weapons to get in the ring and DOMINATE!",
,Haunted House,Big Spooky Energy,"Saturday, June 6",10:00:00 PM,12:00:00 AM,Other,"Come check out our walk through haunted house filled with illusions, animatronics, and live actors.",
,Kenny Chezney,Wood Petter's Lounge,"Saturday, June 6",11:00:00 PM,12:00:00 AM,Music,"Come out with your cowperson hats and cowperson boots and get ready for something you've never seen at To The Moon! Kenny Chezney will be performing live at our camp sometime after the effigy burn! if you don't have cowperson attire, camo and ballcaps will do! Let's get down with all the amazing music Kenny Chezney has lined up for us, here in the hills of good old east Tennessee.",
,Banana Lounge & Hammock Forest,Banana Hammocks,"Sunday, June 7",12:00:00 AM,12:00:00 AM,Event,Come relax! Open 24 hours! \nNo Shoes inside!,
,Gifting Table,Grotto - Open Community Space,"Sunday, June 7",09:00:00 AM,09:00:00 PM,Workshop,Gifting Table for people to enjoy,
,Breakfast delights,A Little Bit All Over The Place,"Sunday, June 7",10:00:00 AM,11:00:00 AM,Food,"More spontaneously times than dinner, come join us for breakfast. Food will be done a few hours after Ithr cook wakes up until we run out of food.",
,Ice Sales 🧊,DPW (Dept of Public Works),"Sunday, June 7",10:00:00 AM,02:00:00 PM,Other,"7lb bags of ice will be available for purchase at $5 Thursday through Sunday from 10–7pm adjacent to the quartermaster. Price and bag size subject to change based on availability. Cash, tap to pay, or Venmo, are accepted.",
,"Morning Breathwork, Meditation, and Slo-Flow Yoga",Sunshine Yoga Cafe,"Sunday, June 7",10:00:00 AM,11:00:00 AM,Chill,"This is your time for an internal reset and a space to find complete calm. \n\nBring your yoga mat and sit under our canopy for breathwork, meditation, and yin yoga. We will gently stretch our minds and bodies, allowing us to fully welcome in all that this beautiful day has to offer.",
,Elven Elixirs,ReConnect Camp,"Sunday, June 7",11:00:00 AM,03:00:00 PM,Food,Do you party too hard? Or just need some rejuvenation? Your resident elven herbalist has your back. I've got TCM teas made to bring you back to life and sweeter treats like rose falooda to lift your spirits. 11am til we run out. Come by each day for different elixirs. Water station always available.,
,Slow Vinyasa Flow,Sunshine Yoga Cafe,"Sunday, June 7",11:15:00 AM,12:15:00 PM,Chill,"Bring your yoga mat and give yourself permission to slow down. \n\nIn this practice, we explore deep presence and juicy, rhythmic movement. \n\nBy slowing down the flow, we create space to breathe deeper, hold poses longer, and honor exactly what our bodies need.",
,Mid-Day Meditation,Sunshine Yoga Cafe,"Sunday, June 7",12:15:00 PM,01:00:00 PM,Chill,"Drop into your highest self with this midday group meditation with your Sangha- your community. Gather under the shade of our canopy to pause, breathe, and realign. \n\nBring your yoga mat and take a break from the midday sun.",
,Flotilla party on the lake,Cool as Fuck!,"Sunday, June 7",01:00:00 PM,04:00:00 PM,Party,"Hey amazing people, when we last came to TTM two years ago we got a Flotilla together on the lake at 1:00 on the Sunday and about 50 rafts showed up and we had ourselves a fun ‘ol time. Let’s do that again, shall we. Same time and place, weather permitting. BYO Raft.",
,Integration Circle,ReConnect Camp,"Sunday, June 7",02:00:00 PM,04:00:00 PM,Other,"How has this burn changed you? What magic did you experience? \n\nHere you can share what's on your heart, witness and be witnessed, as we process our time on this land together in community.",
,Theosophy and Gnosticism,Sunshine Yoga Cafe,"Sunday, June 7",02:30:00 PM,03:30:00 PM,Workshop,Join us as we discuss Theosophy and Gnosticism\n\n*Note: the timing on this workshop is subject to change due to weather- we’ll update the whiteboard if there are any changes.,
,Hypnotic Regenesis,DreamCamp,"Sunday, June 7",03:30:00 PM,04:41:00 PM,Workshop,"Tap into the past, activate presence and generate the future! Immerse yourself in this guided experience of hypnotic trance, neuro-linguistic programming and heightened, conscious awareness with New Technique!",
,Sunshine Yoga Cafe Closing Ceremony,Sunshine Yoga Cafe,"Sunday, June 7",03:45:00 PM,04:15:00 PM,Event,"Join us for a short yet meaningful closing ceremony as we check in with our internal spaces, honor the shifts we’ve experienced this week, and express gratitude for this fleeting time.\n\nTogether, we’ll anchor our intentions and begin the process of integrating our self-discoveries into our consciousness. \n\n*Note: This time is subject to change depending on the weather. check the whiteboard for schedule changes.",
,Karaoke,A Little Bit All Over The Place,"Sunday, June 7",06:00:00 PM,09:00:00 PM,Food,We will be hosting kwraoke while we are cooking and serving food!,
,Soup!!!! Soup!!!!,A Little Bit All Over The Place,"Sunday, June 7",08:00:00 PM,09:00:00 PM,Food,"Ever night you can join us for dinner, usually we make delicous soups and stews.  Dinner starts whenever food is done and ends whenever we run out.",
,Temple of the Burning Heart 🔥,Temple,"Sunday, June 7",08:30:00 PM,10:30:00 PM,Fire,"Temple of the Burning Heart\n\nRising from the ash on Temple Hill stands—a sanctuary of impermanence, a monument to the stories we leave behind. Its wooden beams whisper with the weight of memory, each carved detail a prayer, each offering a farewell.\n\nHere, sorrow and joy entwine like smoke in the Tennessee wind. Here, burdens are set down, love is spoken, and silence is sacred. Within its radiant glow , past and present embrace—laughter echoes, grief lingers, and forgiveness takes root in the spaces between.\n\nAt its heart, fire awaits—not in destruction, but in transformation. Flames will consume, not to erase, but to release. As the temple turns to embers, so do the words, the wounds, the wishes woven into it. Nothing is lost. Everything is carried forward.\n\nThis is a place for letting go. This is a place for remembering. This is a place for beginning again.",
